Length Units,centimeter
Node,X(cm),Y(cm),Z(cm),VX(cm/s),VY(cm/s),VZ(cm/s),(1) 속도 크기 - cm/s
183,9.7869328e+04,-6.2645961e+04,1.3800000e+04,4.3903191e+01,7.8072778e+02,4.2502148e+01,7.8311548e+02
184,1.0089563e+05,-6.2645961e+04,1.3800000e+04,3.6371719e+01,7.9268304e+02,4.4551895e+01,7.9476672e+02
185,1.0392194e+05,-6.2645961e+04,1.3800000e+04,2.2675825e+01,7.9852124e+02,4.6142448e+01,8.0017468e+02
186,1.0694823e+05,-6.2645961e+04,1.3800000e+04,5.8222370e+00,7.8456891e+02,4.8891491e+01,7.8611237e+02
187,1.0997455e+05,-6.2645961e+04,1.3800000e+04,-4.4443941e+00,7.1586011e+02,4.2412346e+01,7.1712915e+02
188,1.1300084e+05,-6.2645961e+04,1.3800000e+04,-8.6887779e+00,5.5380786e+02,3.1931496e+01,5.5479572e+02
189,-2.6209146e+04,-5.9629094e+04,1.3800000e+04,1.2979825e+01,5.1975055e+02,2.1136761e+01,5.2034204e+02
190,-2.3182842e+04,-5.9629094e+04,1.3800000e+04,1.8441833e+01,6.5703357e+02,2.6731153e+01,6.5783569e+02
191,-2.0156539e+04,-5.9629094e+04,1.3800000e+04,1.8277365e+01,7.4515314e+02,2.5494097e+01,7.4581311e+02
192,-1.7130234e+04,-5.9629094e+04,1.3800000e+04,6.0380268e+00,7.7026392e+02,1.3952045e+01,7.7041394e+02
193,-1.4103930e+04,-5.9629094e+04,1.3800000e+04,-8.6579437e+00,7.6844739e+02,1.0197464e+01,7.6856378e+02
194,-1.1077625e+04,-5.9629094e+04,1.3800000e+04,-2.9209686e+01,7.5568048e+02,5.5478311e+00,7.5626514e+02
195,-8.0513203e+03,-5.9629094e+04,1.3800000e+04,-5.2905071e+01,7.7184265e+02,3.4573479e+00,7.7366138e+02
196,-5.0250176e+03,-5.9629094e+04,1.3800000e+04,-7.5411087e+01,7.6742700e+02,4.3432808e+00,7.7113544e+02
197,-1.9987129e+03,-5.9629094e+04,1.3800000e+04,-9.9075317e+01,7.6480701e+02,4.7436862e+00,7.7121216e+02
198,1.0275918e+03,-5.9629094e+04,1.3800000e+04,-1.1753961e+02,7.5127600e+02,3.2424178e+00,7.6042206e+02
199,4.0538965e+03,-5.9629094e+04,1.3800000e+04,-1.3552831e+02,7.5451563e+02,4.1311183e+00,7.6660211e+02
200,7.0802012e+03,-5.9629094e+04,1.3800000e+04,-1.4635069e+02,7.4745490e+02,3.4471061e+00,7.6165558e+02
201,1.0106506e+04,-5.9629094e+04,1.3800000e+04,-1.5807227e+02,7.5803113e+02,1.8757615e+00,7.7433942e+02
202,1.3132807e+04,-5.9629094e+04,1.3800000e+04,-1.6768619e+02,7.6231213e+02,-1.5795996e+00,7.8053894e+02
203,1.6159111e+04,-5.9629094e+04,1.3800000e+04,-1.8521948e+02,7.7574719e+02,6.9912601e-01,7.9755280e+02
